run_id,method,fraction,seed,protocol_pass,protocol_type,violations,anchor_mode,trainable_params,total_params
target_only_frac500_seed20260530,target_only,0.5,20260530,True,controlled_baseline,,target_only,498404.0,498643.0
classical_delta_frac1000_seed20260528,classical_delta,1.0,20260528,True,classical_delta_adapter,,,,
formdelta_frac1000_seed20260528,formdelta,1.0,20260528,True,canonical_formdelta,,fixed_anchor,498404.0,498643.0
feature_stacking_frac1000_seed20260528,feature_stacking,1.0,20260528,True,controlled_baseline,,stacking,498404.0,498643.0
target_only_frac1000_seed20260528,target_only,1.0,20260528,True,controlled_baseline,,target_only,498404.0,498643.0
classical_delta_frac1000_seed20260529,classical_delta,1.0,20260529,True,classical_delta_adapter,,,,
formdelta_frac1000_seed20260529,formdelta,1.0,20260529,True,canonical_formdelta,,fixed_anchor,498404.0,498643.0
feature_stacking_frac1000_seed20260529,feature_stacking,1.0,20260529,True,controlled_baseline,,stacking,498404.0,498643.0
target_only_frac1000_seed20260529,target_only,1.0,20260529,True,controlled_baseline,,target_only,498404.0,498643.0
classical_delta_frac1000_seed20260530,classical_delta,1.0,20260530,True,classical_delta_adapter,,,,
formdelta_frac1000_seed20260530,formdelta,1.0,20260530,True,canonical_formdelta,,fixed_anchor,498404.0,498643.0
feature_stacking_frac1000_seed20260530,feature_stacking,1.0,20260530,True,controlled_baseline,,stacking,498404.0,498643.0
target_only_frac1000_seed20260530,target_only,1.0,20260530,True,controlled_baseline,,target_only,498404.0,498643.0
